prototype_index,Prototype,Number of Species,Number of Atoms,Pearson Symbol,Strukturbericht Designation,AFLOW Prototype,Space Group Symbol,Space Group Number,Notes
75,CW,2,2,hP2,BhBhB_{h},AB_hP2_187_d_a,Pˉ6m2P6¯m2P\bar{6}m2,187,Tungsten Carbide (Bh) Structure
76,CuPt,2,2,hR2,L11L11L1_{1},AB_hR2_166_a_b,Rˉ3mR3¯mR\bar{3}m,166,CuPt (L11) Structure
77,NiS,2,6,hR6,B13B13B13,AB_hR6_160_b_b,R3mR3mR3m,160,"Millerite (NiS, B13) Structure"
78,O2Si,2,36,tP36,,A2B_tP36_96_3b_ab,P43212P43212P4_{3}2_{1}2,96,Keatite (SiO2) Structure
79,Cl3Cr,2,24,hP24,D04D04D0_{4},A3B_hP24_151_3c_2a,P3112P3112P3_{1}12,151,CrCl3 (D04) Crystal Structure
80,HgCl2,2,12,oP12,C25C25C25,A2B_oP12_62_2c_c,PnmaPnmaPnma,62,HgCl2 (C25) Structure
81,CaFeO6Si2,4,20,mC40,,ABC6D2_mC40_15_e_e_3f_f,C2/cC2/cC2/c,15,Esseneite Structure
82,AuCu,2,2,tP2,L10L10L1_{0},AB_tP2_123_a_d,P4/mmmP4/mmmP4/mmm,123,CuAu (L10) Structure
83,Sm,1,3,hR3,C19C19C19,A_hR3_166_ac,Rˉ3mR3¯mR\bar{3}m,166,αα\alpha–Sm (C19) Structure
84,Cr9Fe16Ni7,3,32,cF128,,A9B16C7_cF128_225_acd_2f_be,Fmˉ3mFm3¯mFm\bar{3}m,225,Model of Ferrite Structure (cF128)
85,Ag2Se,2,12,oP12,,A2B_oP12_19_2a_a,P212121P212121P2_{1}2_{1}2_{1},19,Naumannite (Ag2Se) Structure
86,PdS,2,16,tP16,B34B34B34,AB_tP16_84_cej_k,P42/mP42/mP4_{2}/m,84,PdS (B34) Structure
87,Po,1,6,mC12,A19A19A19,A_mC12_5_3c,C2C2C2,5,Po (A19) Structure
88,Al2O3,2,10,hR10,D51D51D5_{1},A2B3_hR10_167_c_e,Rˉ3cR3¯cR\bar{3}c,167,"Corundum (Al2O3, D51) Structure"
89,CuO,2,4,mC8,B26B26B26,AB_mC8_15_c_e,C2/cC2/cC2/c,15,"Tenorite (CuO, B26) Structure"
90,CSi,2,12,hP12,B6B6B6,AB_hP12_186_a2b_a2b,P63mcP63mcP6_{3}mc,186,Moissanite–6H SiC (B6) Structure
91,CrFe,5,30,tP30,D8bD8bD8_{b},sigma_tP30_136_bf2ij,P42/mnmP42/mnmP4_{2}/mnm,136,σσ\sigma–CrFe (D8b) Structure
92,CKNS,4,16,oP16,F59F59F5_{9},ABCD_oP16_57_d_c_d_d,PbcmPbcmPbcm,57,KCNS (F59) Structure
93,Si2Zr,2,6,oC12,C49C49C49,A2B_oC12_63_2c_c,CmcmCmcmCmcm,63,ZrSi2 (C49) Structure
94,MgNi2,2,24,hP24,C36C36C36,AB2_hP24_194_ef_fgh,P63/mmcP63/mmcP6_{3}/mmc,194,MgNi2 Hexagonal Laves (C36) Structure
95,CSi,2,6,hR6,,AB_hR6_160_3a_3a,R3mR3mR3m,160,Moissanite 9R Crystal Structure
96,O2Si,2,9,hP9,C8C8,A2B_hP9_180_j_c,P6222P6_{2}22,180,"β\beta–Quartz (SiO2, C8)"
97,B2C2Mg,3,40,oC80,,A2B2C_oC80_64_efg_efg_df,CmcaCmca,64,MgB2C2 Crystal Structure
98,O2Si,2,24,mC48,,A2B_mC48_15_ae3f_2f,C2/cC2/c,15,Coesite (SiO2) Structure
99,Li,1,8,cI16,,A_cI16_220_c,Iˉ43dI\bar{4}3d,220,High–pressure cI16 Li Structure
100,CaCu5,2,6,hP6,D2dD2_{d},AB5_hP6_191_a_cg,P6/mmmP6/mmm,191,CaCu5 (D2d) Structure
101,AuBe5,2,6,cF24,C15bC15_{b},AB5_cF24_216_a_ce,Fˉ43mF\bar{4}3m,216,AuBe5 (C15b) Structure
102,Ga4Ni,2,20,cI40,,A4B_cI40_197_cde_c,I23I23,197,Ga4Ni Structure
